symbol,base,onboard_date,vol24h_usdt,kl_start,kl_end,n_days,n_funding
BUSDT,B,2025-05-22,13272089.6454,2025-05-22,2026-07-22,427,2557
BSBUSDT,BSB,2026-03-25,13089409.91276,2026-03-25,2026-07-22,120,716
CRVUSDT,CRV,2020-09-01,13041958.87664,2020-09-01,2026-07-12,2141,6422
AIAUSDT,AIA,2026-01-20,12599144.13193,2026-01-20,2026-07-22,184,2617
JUPUSDT,JUP,2024-01-31,12335797.6338,2024-01-31,2026-07-22,904,5416
TRIAUSDT,TRIA,2026-02-06,12182571.89312,2026-02-06,2026-07-22,167,998
BILLUSDT,BILL,2026-05-07,12134921.09214,2026-05-07,2026-07-22,77,459
MONUSDT,MON,2025-10-10,11727662.02005,2025-10-10,2026-07-22,286,1713
WIFUSDT,WIF,2024-01-18,11722684.07901,2024-01-18,2026-07-22,917,5497
SIRENUSDT,SIREN,2025-03-22,11168255.0973,2025-03-22,2026-07-22,488,3399
ATOMUSDT,ATOM,2020-02-07,10535352.442,2020-02-07,2026-07-12,2348,7045
BTWUSDT,BTW,2026-06-04,10457542.47076,2026-06-04,2026-07-22,49,289
ZILUSDT,ZIL,2020-06-18,10440480.137965,2020-06-18,2026-07-22,2226,7358
BLURUSDT,BLUR,2023-04-27,10268517.87463,2023-04-28,2026-07-22,1182,3927
PENDLEUSDT,PENDLE,2023-07-28,10238750.4955,2023-07-28,2026-07-22,1091,3280
ICPUSDT,ICP,2021-07-30,10106149.515,2022-09-27,2026-07-12,1385,5666
ZBTUSDT,ZBT,2025-10-17,9749202.18199,2025-10-17,2026-07-22,279,2054
TREEUSDT,TREE,2025-07-29,9721203.38822,2025-07-29,2026-07-22,359,2209
GWEIUSDT,GWEI,2026-01-29,9453286.29304,2026-01-29,2026-07-22,175,1368
HEIUSDT,HEI,2025-02-13,9304474.649974,2025-02-13,2026-07-22,525,3160
RENDERUSDT,RENDER,2024-07-26,8898187.3407,2024-07-26,2026-07-22,727,4358
KITEUSDT,KITE,2025-10-29,8894435.11029,2025-10-29,2026-07-22,267,1598
ORDIUSDT,ORDI,2023-11-07,8825893.1489,2023-11-07,2026-07-22,989,5929
CLOUSDT,CLO,2025-10-14,8795406.98267,2025-10-14,2026-07-22,282,1794
