hold,rebalance,k_pct,exec_lag,cost,gross_sharpe,net_sharpe,ann_return,max_drawdown,turnover_annual,cost_drag_annual,n_bars
1,1,0.1,1,low,0.793636756076449,-3.829634758941715,-0.8169501569499547,-0.9949817221392763,9711.947874839003,1.9423895749678004,26398
1,1,0.1,1,med,0.793636756076449,-16.50458398778811,-0.9991262331676232,-0.9999999993989721,9711.947874839003,7.283960906129253,26398
1,1,0.1,1,high,0.793636756076449,-33.575714316763914,-0.99999940625654,-1.0,9711.947874839003,14.567921812258504,26398
1,1,0.1,2,low,-0.17858890581380113,-5.12788788522454,-0.8762877625819416,-0.9982914744476081,9711.394802636563,1.942278960527313,26398
1,1,0.1,2,med,-0.17858890581380113,-18.70766737366519,-0.9994093371038274,-0.9999999998135648,9711.394802636563,7.2835461019774215,26398
1,1,0.1,2,high,-0.17858890581380113,-37.003616040055206,-0.9999995985044893,-1.0,9711.394802636563,14.567092203954845,26398
1,1,0.2,1,low,0.9972860101376978,-5.684994074856086,-0.7644233532754419,-0.9873942207630699,8312.675202666867,1.6625350405333734,26398
1,1,0.2,1,med,0.9972860101376978,-23.986283293699163,-0.997569956232866,-0.9999999867912652,8312.675202666867,6.234506402000149,26398
1,1,0.2,1,high,0.9972860101376978,-48.5272795868313,-0.999995269361153,-0.9999999999999999,8312.675202666867,12.469012804000304,26398
1,1,0.2,2,low,-0.112856790810514,-7.242139984629273,-0.8202498404542544,-0.9943260838156542,8312.248546967843,1.6624497093935686,26398
1,1,0.2,2,med,-0.112856790810514,-26.76903455460692,-0.9981455870844989,-0.999999994141031,8312.248546967843,6.234186410225882,26398
1,1,0.2,2,high,-0.112856790810514,-52.92107494055945,-0.9999963893316102,-1.0,8312.248546967843,12.468372820451766,26398
1,1,0.3,1,low,1.2670250689971558,-6.4029846009032,-0.7046743958033603,-0.9752472034692854,7198.284994042247,1.4396569988084496,26398
1,1,0.3,1,med,1.2670250689971558,-27.406816704840093,-0.9943736864575117,-0.9999998339788703,7198.284994042247,5.398713745531686,26398
1,1,0.3,1,high,1.2670250689971558,-55.505576622210135,-0.9999746885122391,-0.9999999999999859,7198.284994042247,10.797427491063372,26398
1,1,0.3,2,low,0.003994012178199151,-8.192701911403999,-0.7664731348864801,-0.9875117425432787,7198.01348587014,1.4396026971740281,26398
1,1,0.3,2,med,0.003994012178199151,-30.607836656472603,-0.9955508925381523,-0.9999999181271005,7198.01348587014,5.3985101144026055,26398
1,1,0.3,2,high,0.003994012178199151,-60.47456827409571,-0.9999799836627288,-0.9999999999999931,7198.01348587014,10.79702022880521,26398
2,1,0.1,1,low,0.36776201239577855,-3.2354851015033343,-0.7048071980452504,-0.9791876360383247,6436.875520872794,1.2873751041745587,26398
2,1,0.1,1,med,0.36776201239577855,-13.136561456075501,-0.9914490762974344,-0.9999994165633532,6436.875520872794,4.827656640654594,26398
2,1,0.1,1,high,0.36776201239577855,-26.590971756858693,-0.9999318364586097,-0.9999999999997224,6436.875520872794,9.655313281309187,26398
2,1,0.1,2,low,-0.635208760717492,-4.368275533273808,-0.791148762705667,-0.9916194845639494,6436.709599212062,1.287341919842412,26398
2,1,0.1,2,med,-0.635208760717492,-14.625093623868086,-0.993950432471443,-0.9999997940064341,6436.709599212062,4.827532199409046,26398
2,1,0.1,2,high,-0.635208760717492,-28.5584306653977,-0.9999517790097006,-0.999999999999902,6436.709599212062,9.655064398818093,26398
2,1,0.2,1,low,0.5158279818573044,-4.797788719695865,-0.6516628521522313,-0.9599092705802956,5710.9761562023095,1.142195231240462,26398
2,1,0.2,1,med,0.5158279818573044,-19.39137518888752,-0.984953578170789,-0.9999967819169961,5710.9761562023095,4.283232117151731,26398
2,1,0.2,1,high,0.5158279818573044,-39.1803159418515,-0.9997930633625348,-0.9999999999920953,5710.9761562023095,8.566464234303462,26398
2,1,0.2,2,low,-0.43819389122477354,-6.013690807560941,-0.7143590732172993,-0.9772624926894247,5710.762828352796,1.1421525656705596,26398
2,1,0.2,2,med,-0.43819389122477354,-21.329582476007786,-0.9876610173933807,-0.9999982293734221,5710.762828352796,4.283072121264598,26398
2,1,0.2,2,high,-0.43819389122477354,-42.0979337032324,-0.9998302857717141,-0.9999999999956513,5710.762828352796,8.566144242529196,26398
2,1,0.3,1,low,0.7361955579476728,-5.498760787548011,-0.5948854658393619,-0.9366153030426964,5047.955354744505,1.0095910709489009,26398
2,1,0.3,1,med,0.7361955579476728,-22.615877729453526,-0.9747952969505672,-0.9999847625532317,5047.955354744505,3.785966516058379,26398
2,1,0.3,1,high,0.7361955579476728,-45.778903682314095,-0.999429624062932,-0.9999999998322016,5047.955354744505,7.571933032116757,26398
